IntersectionID,phaseID,PhaseDuration,GreenLinkID
1328,1,35,_1230_1232_1234_1236
1328,2,22,_1233_1235_1228_1238
1328,3,12,_1227_1228_1237_1238
1328,4,21,_1232_1236_1229_1239
1354,1,25,_1258_1259_1252_1253
1354,2,24,_1262_1260_1256_1254
1354,3,8,_1261_1262_1255_1256
1354,4,33,_1263_1259_1257_1253
1341,1,22,_1249_1250_1243_1244
1341,2,11,_1247_1241_1251_1245
1341,3,12,_1246_1247_1240_1241
1341,4,45,_1248_1242_1250_1244
1367,1,36,_1220_1223_1215_1216_1215
1367,2,16,_1225_1224_1221_1217
1367,3,9,_1218_1225_1219_1221
1367,4,29,_1226_1223_1222_1216
