index_time,sectionID,time stamp,delay,density,flow,speed,travel time,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16
0,1190,1000,19.05,96.56,138,31.41,30.56,68,2,19,1,2,85,2,1,3,21,29,37,88,0,1,1
1,1190,2000,-1,181.4,0,-1,-1,68,2,19,1,2,85,2,1,3,21,29,37,88,0,1,1
2,1190,3000,-1,197.49,0,-1,-1,68,2,19,1,2,85,2,1,3,21,29,37,88,0,1,1
3,1190,4000,-1,197.49,0,-1,-1,68,2,19,1,2,85,2,1,3,21,29,37,88,0,1,1
4,1190,5000,-1,197.49,0,-1,-1,68,2,19,1,2,85,2,1,3,21,29,37,88,0,1,1
5,1190,10000,-1,197.49,0,-1,-1,68,2,19,1,2,85,2,1,3,21,29,37,88,0,1,1
0,1190,1000,19.05,96.56,138,31.41,30.56,68,3,18,1,2,85,2,1,3,21,29,37,88,0,1,1
1,1190,2000,-1,181.4,0,-1,-1,68,3,18,1,2,85,2,1,3,21,29,37,88,0,1,1
2,1190,3000,-1,197.49,0,-1,-1,68,3,18,1,2,85,2,1,3,21,29,37,88,0,1,1
3,1190,4000,-1,197.49,0,-1,-1,68,3,18,1,2,85,2,1,3,21,29,37,88,0,1,1
4,1190,5000,-1,197.49,0,-1,-1,68,3,18,1,2,85,2,1,3,21,29,37,88,0,1,1
5,1190,10000,-1,197.49,0,-1,-1,68,3,18,1,2,85,2,1,3,21,29,37,88,0,1,1
0,1190,1000,19.53,96.6,138,31.18,31.05,69,3,17,1,2,85,2,1,3,21,29,37,88,0,1,1
1,1190,2000,-1,181.4,0,-1,-1,69,3,17,1,2,85,2,1,3,21,29,37,88,0,1,1
2,1190,3000,-1,197.49,0,-1,-1,69,3,17,1,2,85,2,1,3,21,29,37,88,0,1,1
3,1190,4000,-1,197.49,0,-1,-1,69,3,17,1,2,85,2,1,3,21,29,37,88,0,1,1
4,1190,5000,-1,197.49,0,-1,-1,69,3,17,1,2,85,2,1,3,21,29,37,88,0,1,1
5,1190,10000,-1,197.49,0,-1,-1,69,3,17,1,2,85,2,1,3,21,29,37,88,0,1,1
0,1190,1000,19.53,96.6,138,31.18,31.05,69,3,17,1,2,85,2,1,3,22,28,37,88,0,1,1
1,1190,2000,-1,181.4,0,-1,-1,69,3,17,1,2,85,2,1,3,22,28,37,88,0,1,1
2,1190,3000,-1,197.49,0,-1,-1,69,3,17,1,2,85,2,1,3,22,28,37,88,0,1,1
3,1190,4000,-1,197.49,0,-1,-1,69,3,17,1,2,85,2,1,3,22,28,37,88,0,1,1
4,1190,5000,-1,197.49,0,-1,-1,69,3,17,1,2,85,2,1,3,22,28,37,88,0,1,1
5,1190,10000,-1,197.49,0,-1,-1,69,3,17,1,2,85,2,1,3,22,28,37,88,0,1,1
0,1190,1000,19.53,96.6,138,31.18,31.05,69,3,17,1,2,86,2,0,3,22,28,37,88,0,1,1
1,1190,2000,-1,181.4,0,-1,-1,69,3,17,1,2,86,2,0,3,22,28,37,88,0,1,1
2,1190,3000,-1,197.49,0,-1,-1,69,3,17,1,2,86,2,0,3,22,28,37,88,0,1,1
3,1190,4000,-1,197.49,0,-1,-1,69,3,17,1,2,86,2,0,3,22,28,37,88,0,1,1
4,1190,5000,-1,197.49,0,-1,-1,69,3,17,1,2,86,2,0,3,22,28,37,88,0,1,1
